"62 - Minas Gerais, Brazil",35.3,28.7,28.7,28.7,,35.3,,,,,SEM (EDS used for elements),NA,Reported Average
"63 - Doha, Qatar",20,20,20,20,,,,,,,Microscopy (light),NA,Mean from Reported Range
"64 - Dammam, Saudi Arabia",1.2,1.2,1.2,1.2,,,,,,,SEM (EDS used for elemental composition),NA,Reported Average
"65 - Dharan, Saudi Arabia",30,0.01,1.2,30,,,,,,,SEM,NA,Mean from Reported Range
"66 - Alentajo, Portugal",20,20,20,20,,,,,,,SEM (Image J),NA,Reported Average
67 - Unknown Location,4,3,3.5,4,,,,,,,SEM,NA,Reported Average
"68 - Sede Boqer, Israel",20,2,7,12,4,12,20,,,,No information given,David,Mean from Reported Range
69 - North Carolina,215,0.01,107.505,215,,,,,,,No information given,David,Mean from Reported Range
"7 - Negev Desert, Israel",60,5,32.5,60,,,,,,,No information given,NA,Mean from Reported Range
8 - Lybia,120,120,120,120,,,,,,,No information given,NA,Reported Average
9 - Iraq,400,80,240,400,,,,,,,No information given,NA,Mean from Reported Range
